TTCNum	ImageFN	Count	Area	Species	LifeHistory
TTC020569	05-03-2019_TTC020569_002.jpg	2	108.661	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_002.jpg	3	110.872	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_002.jpg	4	57.729	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_002.jpg	5	67.146	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_002.jpg	6	58.179	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_002.jpg	7	80.288	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_002.jpg	8	60.881	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_002.jpg	9	74.556	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_002.jpg	10	78.801	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_002.jpg	11	75.498	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_002.jpg	12	61.168	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_002.jpg	13	161.068	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_002.jpg	14	102.806	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_002.jpg	15	90.496	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_002.jpg	16	103.38	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_002.jpg	17	113.752	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_002.jpg	18	80.37	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_002.jpg	19	69.111	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_002.jpg	20	83.959	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_002.jpg	21	106.6	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_002.jpg	22	105.509	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_002.jpg	23	66.067	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_002.jpg	24	53.921	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_002.jpg	25	76.59	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_002.jpg	26	59.448	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_002.jpg	27	84.587	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_002.jpg	28	86.389	Ungnadia_speciosa	Tree
TTC020569	05-03-2019_TTC020569_002.jpg	29	163.128	Ungnadia_speciosa	Tree
