Sample_ID,Sample_Weight,Nitrogen_Response,Nitrogen_Weight,Nitrogen_Percent,Carbon_Response,Carbon_Weight,Carbon_Percent,Low_Response,Bad_Load,Run
29,0.951,40.11,0.019,1.99,1713.802,0.296,31.07,0,0,1
30,0.323,25.742,0.012,3.65,636.042,0.108,33.41,0,0,1
31,2.668,115.108,0.056,2.1,5216.898,0.941,35.29,0,0,1
32,0.891,35.717,0.017,1.88,2081.195,0.361,40.47,0,0,1
33,3.326,135.364,0.066,1.98,7282.415,1.353,40.69,0,0,1
34,0.746,69.154,0.033,4.46,1930.502,0.334,44.74,0,0,1
35,0.051,,,,13.731,0.002,3.37,1,0,1
36,0.071,,,,192.343,0.032,45.14,1,0,1
37,1.935,70.819,0.034,1.76,4943.817,0.889,45.94,0,0,1
38,2.709,95.742,0.046,1.71,5801.51,1.055,38.96,0,0,1
39,2.946,192.749,0.094,3.2,6047.489,1.104,37.47,0,0,1
40,0.303,,,,394.382,0.067,21.95,1,0,1
41,0.271,14.397,0.006,2.28,696.108,0.118,43.64,0,0,1
42,0.443,21.804,0.01,2.22,1224.91,0.21,47.36,0,0,1
43,0.366,18.964,0.008,2.31,1025.562,0.175,47.86,0,0,1
44,3.015,125.68,0.061,2.03,7481.579,1.395,46.25,0,0,1
45,2.365,114.818,0.056,2.36,5973.498,1.089,46.06,0,0,1
46,3.066,88.254,0.047,1.52,7245.708,1.399,45.63,0,0,2
47,2.718,90.986,0.048,1.76,6477.862,1.245,45.81,0,0,2
48,0.735,34,0.02,2.7,1959.74,0.37,50.28,0,0,2
49,3.094,131.248,0.068,2.19,6383.068,1.226,39.63,0,0,2
50,2.21,83.847,0.044,2.01,4748.241,0.904,40.9,0,0,2
51,2.035,144.194,0.074,3.64,5147.635,0.982,48.26,0,0,2
52,2.004,64.617,0.035,1.74,4282.578,0.813,40.59,0,0,2
53,2.68,278.6,0.14,5.24,5672.335,1.085,40.5,0,0,2
96,0.544,24.534,0.014,2.57,1273.443,0.244,44.85,0,0,3
97,0.593,21.68,0.013,2.11,1296.7,0.249,41.91,0,0,3
98,0.903,45.574,0.025,2.75,2016.578,0.39,43.18,0,0,3
99,0.456,29.169,0.016,3.59,1022.151,0.195,42.77,0,0,3
100,0.792,10.662,0.007,0.86,2152.736,0.417,52.63,0,0,3
101,0.98,36.3,0.02,2.05,2226.116,0.431,44.01,0,0,3
102,1.095,34.707,0.019,1.76,2810.766,0.548,50.01,0,0,3
103,2.931,88.194,0.047,1.6,6816.259,1.372,46.82,0,0,3
104,2.791,47.02,0.026,0.92,6684.372,1.344,48.16,0,0,3
105,3.828,76.529,0.041,1.07,9342.14,1.921,50.17,0,0,3
106,2.646,53.513,0.029,1.09,6485.244,1.302,49.21,0,0,3
107,2.699,42.609,0.023,0.86,6597.696,1.326,49.12,0,0,3
108,2.749,44.44,0.024,0.88,6481.286,1.301,47.33,0,0,3
109,2.137,56.77,0.031,1.43,5248.615,1.043,48.82,0,0,3
110,2.46,86.852,0.046,1.87,5843.042,1.167,47.44,0,0,3
111,3.147,144.179,0.076,2.4,6878.221,1.385,44.02,0,0,3
112,1.008,55.755,0.03,2.98,2401.933,0.466,46.25,0,0,3
113,2.281,87.631,0.047,2.04,5276.124,1.049,45.99,0,0,3
114,2.5,123.669,0.065,2.6,4951.325,0.982,39.27,0,0,3
115,0.824,16.028,0.01,1.16,1511.366,0.291,35.26,0,0,3
116,2.295,111.32,0.059,2.56,5457.054,1.087,47.35,0,0,3
117,2.295,150.493,0.079,3.44,4423.511,0.873,38.06,0,0,3
118,3.656,166.497,0.087,2.38,6086.502,1.218,33.32,0,0,3
119,3.744,88.186,0.047,1.25,6159.757,1.233,32.94,0,0,3
120,1.063,46.934,0.026,2.4,2244.156,0.435,40.91,0,0,3
121,2.977,73.13,0.039,1.31,4763.817,0.943,31.68,0,0,3
122,0.543,17.222,0.01,1.88,1154.444,0.221,40.66,0,0,3
123,1.679,118.613,0.062,3.72,3420.775,0.67,39.9,0,0,3
124,3.178,129.831,0.068,2.15,5973.139,1.194,37.58,0,0,3
125,3.085,121.642,0.064,2.08,6445.457,1.294,41.93,0,0,3
127,3.98,377.115,0.196,4.92,14368.114,3.092,77.68,0,0,3
128,2.054,43.193,0.024,1.15,3925.692,0.772,37.59,0,0,3
129,2.442,80.336,0.043,1.75,4372.731,0.863,35.34,0,0,3
130,2.873,67.831,0.036,1.26,3994.729,0.786,27.36,0,0,3
132,3.404,102.749,0.054,1.6,5598.764,1.116,32.79,0,0,3
133,2.978,131.251,0.069,2.32,5375.284,1.07,35.92,0,0,3
134,3.959,259.063,0.135,3.41,11188.556,2.337,59.04,0,0,3
135,2.163,112.116,0.059,2.73,4595.836,0.909,42.01,0,0,3
136,2.469,87.94,0.047,1.89,4480.028,0.885,35.85,0,0,3
137,2.584,118.288,0.062,2.41,5170.18,1.027,39.75,0,0,3
138,3.75,233.865,0.122,3.25,8213.592,1.673,44.6,0,0,3
139,2.465,49.084,0.027,1.08,5451.536,1.085,44.03,0,0,3
140,3.971,255.665,0.133,3.35,7500.358,1.518,38.24,0,0,3
141,2.518,108.516,0.057,2.28,4985.678,0.989,39.28,0,0,3
142,3.971,197.167,0.103,2.59,8078.088,1.643,41.38,0,0,3
143,2.073,49.24,0.027,1.29,4110.274,0.81,39.05,0,0,3
144,3.223,48.881,0.027,0.82,6889.827,1.388,43.06,0,0,3
145,3.064,146.491,0.077,2.51,6570.967,1.32,43.09,0,0,3
146,2.68,80.394,0.043,1.6,6025.252,1.205,44.97,0,0,3
147,2.967,114.871,0.061,2.04,6589.64,1.324,44.63,0,0,3
148,2.98,117.259,0.062,2.07,6311.377,1.265,42.46,0,0,3
149,2.615,108.888,0.057,2.2,5894.133,1.178,45.04,0,0,3
150,3.889,224.57,0.117,3.01,7894.894,1.603,41.23,0,0,3
151,2.328,146.323,0.077,3.3,5098.094,1.012,43.48,0,0,3
152,2.96,127.718,0.067,2.27,6032.258,1.207,40.77,0,0,3
153,2.93,143.478,0.075,2.57,5975.343,1.195,40.78,0,0,3
154,3.866,254.425,0.133,3.43,8552.062,1.746,45.17,0,0,3
155,2.234,99.144,0.052,2.35,5349.778,1.064,47.64,0,0,3
