TTCNumber,Sample,Area(mm^2),Mass (mg),Species,LifeHistory,Family,Latitude ,Longitude ,Elevation(m)
TTC020027,70,177.64,35.7,Rhus virens,Shrub,Anacardiaceae,,,
TTC020028,71,168.11,35.5,Rhus virens,Shrub,Anacardiaceae,,,
TTC020029,72,85.78,16.8,Rhus virens,Shrub,Anacardiaceae,,,
TTC020025,73,122.59,6.1,Berula erecta,Forb,Apiaceae,,,
TTC020024,74,72.37,2.3,Berula erecta,Forb,Apiaceae,,,
TTC020022,75,83.33,2.2,Berula erecta,Forb,Apiaceae,,,
TTC020023,76,84.08,3.4,Berula erecta,Forb,Apiaceae,,,
TTC020015,77,85.39,8.2,Asclepias brachystephana,Forb,Apocynaceae,,,
TTC020016,78,119.33,18.6,Asclepias brachystephana,Forb,Apocynaceae,,,
TTC020014,79,68.23,10.2,Asclepias brachystephana,Forb,Apocynaceae,,,
TTC020004,80,64.72,10.1,Asclepias subverticillata,Forb,Apocynaceae,,,
TTC020003,81,44.5,9.7,Asclepias subverticillata,Forb,Apocynaceae,,,
TTC020002,82,83.05,13.1,Asclepias tuberosa,Forb,Apocynaceae,,,
TTC020001,83,186.83,16.7,Asclepias tuberosa subsp. terminalis,Forb,Apocynaceae,,,
TTC020223,84,104.2,18.9,Berlandiera lyrata,Forb,Asteraceae,,,
TTC020224,85,113.99,18.1,Berlandiera lyrata,Forb,Asteraceae,,,
TTC020221,86,117.75,14.2,Berlandiera lyrata,Forb,Asteraceae,,,
TTC020219,87,71.59,7.8,Berlandiera lyrata,Forb,Asteraceae,,,
TTC020198,88,80.72,12.6,Gaillardia pinnatifida ,Forb,Asteraceae,,,
TTC020199,89,107.76,14.7,Gaillardia pinnatifida ,Forb,Asteraceae,,,
TTC020185,90,93.49,13.2,Gaillardia pinnatifida ,Forb,Asteraceae,,,
TTC020188,91,109.09,11.5,Gaillardia pinnatifida ,Forb,Asteraceae,,,
TTC020242,92,140.3,36.4,Machaeranthera blephariphylla,Forb,Asteraceae,,,
TTC020240,93,109.84,15.5,Machaeranthera blephariphylla,Forb,Asteraceae,,,
TTC020243,94,126.6,24.7,Machaeranthera blephariphylla,Forb,Asteraceae,,,
TTC020241,95,131.17,30.2,Machaeranthera blephariphylla,Forb,Asteraceae,,,
TTC020623,96,47.46,4.8,Anthericum torreyi,Forb,Asparagaceae,,,
TTC020626,97,99.76,10.5,Anthericum torreyi,Forb,Asparagaceae,,,
TTC020624,98,69.59,3.4,Anthericum torreyi,Forb,Asparagaceae,,,
TTC020625,99,63.66,2.6,Anthericum torreyi,Forb,Asparagaceae,,,
TTC020629,100,113.47,6.4,Dasylirion leiophyllum ,Forb,Asparagaceae,,,
TTC020628,101,119.79,8.1,Dasylirion leiophyllum ,Forb,Asparagaceae,,,
TTC020627,102,162.13,7.3,Dasylirion leiophyllum ,Forb,Asparagaceae,,,
TTC020049,103,106.34,10.2,Berberis haematocarpa ,Shrub,Berberidaceae,,,
TTC020048,104,134.08,22.3,Berberis repens,Shrub,Berberidaceae,,,
TTC020047,105,156.94,17.1,Berberis repens,Shrub,Berberidaceae,,,
TTC020046,106,129.67,15.4,Berberis repens,Shrub,Berberidaceae,,,
TTC020050,107,108.79,11.4,Berberis repens,Shrub,Berberidaceae,,,
TTC020052,108,68.02,18.6,Berberis trifoliolata,Shrub,Berberidaceae,,,
TTC020053,109,119.75,26.6,Berberis trifoliolata,Shrub,Berberidaceae,,,
TTC020054,110,138.48,13.7,Ostrya knowltonii,Tree,Betulaceae,,,
TTC020055,111,112.11,22.5,Ostrya knowltonii,Tree,Betulaceae,,,
TTC020057,112,94.1,12.9,Chilopsis linearis,Tree,Bignoniaceae,,,
TTC020056,113,121.91,15.8,Chilopsis linearis,Tree,Bignoniaceae,,,
TTC020061,114,64.69,12.2,Coldenia greggii,Shrub,Boraginaceae,,,
TTC020062,115,48.95,9.6,Coldenia greggii,Shrub,Boraginaceae,,,
TTC020060,116,71.24,16.1,Coldenia greggii,Shrub,Boraginaceae,,,
TTC020080,117,74.56,10.3,Heliotropium curassavicum var. curassavicum,Forb,Boraginaceae,,,
TTC020081,118,78.77,19.1,Heliotropium curassavicum var. curassavicum,Forb,Boraginaceae,,,
TTC020082,119,72.29,18.8,Heliotropium curassavicum var. curassavicum,Forb,Boraginaceae,,,
TTC020076,120,56.88,7.5,Lappula texana,Forb,Boraginaceae,,,
TTC020075,121,67.24,8.4,Lappula texana,Forb,Boraginaceae,,,
TTC020074,122,58.72,6.3,Lappula texana,Forb,Boraginaceae,,,
TTC020371,123,128.05,9.6,Erysimum capitatum ,Forb,Brassicaceae,,,
TTC020367,124,91.92,10.7,Erysimum capitatum ,Forb,Brassicaceae,,,
TTC020373,125,122.92,13.2,Erysimum capitatum ,Forb,Brassicaceae,,,
TTC020370,126,104.01,16.1,Erysimum capitatum ,Forb,Brassicaceae,,,
TTC020379,127,68.83,9.1,Halimolobos diffusa,Forb,Brassicaceae,,,
TTC020380,128,91.31,17.9,Halimolobos diffusa,Forb,Brassicaceae,,,
TTC020378,129,78.85,7.1,Halimolobos diffusa,Forb,Brassicaceae,,,
TTC020766,130,100.36,17.8,Nerisyrenia linearifolia ,Forb,Brassicaceae,,,
TTC020767,131,91.78,20.7,Nerisyrenia linearifolia ,Forb,Brassicaceae,,,
TTC020768,132,67.29,16.7,Nerisyrenia linearifolia ,Forb,Brassicaceae,,,
TTC020351,133,86.93,11.6,Nerisyrenia linearifolia ,Forb,Brassicaceae,,,
TTC020130,134,138.19,26.6,Atriplex canescens ,Shrub,Chenopodiaceae,,,
TTC020129,135,59.04,15.1,Atriplex canescens ,Shrub,Chenopodiaceae,,,
TTC020127,136,109.48,18.3,Atriplex canescens ,Shrub,Chenopodiaceae,,,
TTC020128,137,138.39,30.6,Atriplex canescens ,Shrub,Chenopodiaceae,,,
TTC020117,138,152.86,15.1,Lobelia cardinalis,Forb,Campanulaceae,,,
TTC020116,139,201.74,11.7,Lobelia cardinalis var. pseudosplendens,Forb,Campanulaceae,,,
TTC020113,140,166.38,17.2,Silene laciniata,Forb,Caryophyllaceae,,,
TTC020114,141,143.65,11.2,Silene laciniata,Forb,Caryophyllaceae,,,
TTC020112,142,122.93,12.4,Silene laciniata,Forb,Caryophyllaceae,,,
TTC020419,143,88.04,6.8,Fuirena simplex,Forb,Cyperaceae,,,
TTC020420,144,193.36,23.5,Fuirena simplex,Forb,Cyperaceae,,,
TTC020412,145,92.79,15.2,Bernardia obovata,Shrub,Euphorbiaceae,,,
TTC020413,146,104.37,21.8,Bernardia obovata,Shrub,Euphorbiaceae,,,
TTC020410,147,181.9,32.8,Croton fruticulosus,Forb,Euphorbiaceae,,,
TTC020395,148,74.91,16.7,Tragia ramosa,Forb,Euphorbiaceae,,,
TTC020398,149,103.79,15.3,Tragia ramosa,Forb,Euphorbiaceae,,,
TTC020396,150,63.22,9.5,Tragia ramosa,Forb,Euphorbiaceae,,,
TTC020394,151,99.42,10.6,Tragia ramosa,Forb,Euphorbiaceae,,,
TTC020482,152,169.51,32.4,Cassia roemeriana,Forb,Fabaceae,,,
TTC020484,153,110.61,15.3,Cassia roemeriana,Forb,Fabaceae,,,
TTC020483,154,151.97,20,Cassia roemeriana,Forb,Fabaceae,,,
TTC020393,155,187.41,25.5,Quercus grisea,Tree,Fagaceae,,,
TTC020304,156,131.84,10.4,Convolvulus equitans,Forb,Convolvulaceae,,,
TTC020303,157,59.481,12.7,Convolvulus equitans,Forb,Convolvulaceae,,,
TTC020305,158,138.34,9.3,Convolvulus equitans,Forb,Convolvulaceae,,,
TTC020301,159,160.84,8.5,Dichondra brachypoda ,Forb,Convolvulaceae,,,
TTC020479,160,128.26,3.2,Desmodium psilophyllum ,Forb,Fabaceae,,,
TTC020480,161,177.98,9.7,Desmodium psilophyllum ,Forb,Fabaceae,,,
TTC020474,162,139.89,17,Robinia neomexicana,Tree,Fabaceae,,,
TTC020475,163,156.74,16.3,Robinia neomexicana,Tree,Fabaceae,,,
TTC020447,164,85.31,19.8,Krameria lanceolata,Forb,Krameriaceae,,,
TTC020441,165,89.97,6.9,Hedeoma apiculatum ,Shrub,Lamiaceae,,,
TTC020446,166,71.61,8.2,Hedeoma apiculatum ,Shrub,Lamiaceae,,,
TTC020445,167,107.64,10.1,Hedeoma apiculatum ,Shrub,Lamiaceae,,,
TTC020442,168,63.55,11,Hedeoma apiculatum ,Shrub,Lamiaceae,,,
TTC020507,169,112.89,16.4,Salvia reflexa,Forb,Lamiaceae,,,
TTC020506,170,101.8,7.6,Salvia reflexa,Forb,Lamiaceae,,,
TTC020504,171,115.39,12.1,Salvia reflexa,Forb,Lamiaceae,,,
TTC020508,172,93.71,6.6,Salvia reflexa,Forb,Lamiaceae,,,
TTC020495,173,79.98,4.2,Scutellaria drummondii,Forb,Lamiaceae,,,
TTC020493,174,92.07,10.9,Scutellaria drummondii,Forb,Lamiaceae,,,
TTC020494,175,84.03,10.3,Scutellaria drummondii,Forb,Lamiaceae,,,
TTC020551,176,97.53,2.4,Linum schiedeanum ,Forb,Linaceae,,,
TTC020555,177,135.31,6.4,Linum schiedeanum ,Forb,Linaceae,,,
TTC020552,178,152.27,18.9,Linum schiedeanum ,Forb,Linaceae,,,
TTC020553,179,110.08,9.3,Linum schiedeanum ,Forb,Linaceae,,,
TTC020616,180,125.74,27.2,Cevallia sinuata,Shrub,Loasaceae,,,
TTC020615,181,110.17,19.3,Cevallia sinuata,Shrub,Loasaceae,,,
TTC020777,182,110.42,19.4,Mentzelia humilis,Forb,Loasaceae,,,
TTC020602,183,108.02,21.3,Mentzelia humilis,Forb,Loasaceae,,,
TTC020604,184,136.65,38.7,Mentzelia humilis,Forb,Loasaceae,,,
TTC020601,185,92.2,12.4,Mentzelia humilis,Forb,Loasaceae,,,
TTC020594,186,132.65,24.7,Mentzelia multiflora ,Forb,Loasaceae,,,
TTC020595,187,183.46,30.3,Mentzelia multiflora ,Forb,Loasaceae,,,
TTC020593,188,,26.3,Mentzelia multiflora ,Forb,Loasaceae,,,
TTC020592,189,,12.2,Mentzelia multiflora ,Forb,Loasaceae,,,
TTC020755,190,,9,Fendlera rupicola ,Shrub,Hydrangeaceae,,,
TTC020753,191,,8.7,Fendlera rupicola ,Shrub,Hydrangeaceae,,,
TTC020749,192,,9.6,Fendlera rupicola ,Shrub,Hydrangeaceae,,,
TTC020750,193,,7.9,Fendlera rupicola ,Shrub,Hydrangeaceae,,,
TTC020740,194,,4.7,Fendlerella utahensis,Shrub,Hydrangeaceae,,,
TTC020746,195,,11.7,Fendlerella utahensis,Shrub,Hydrangeaceae,,,
TTC020745,196,,6.9,Fendlerella utahensis,Shrub,Hydrangeaceae,,,
TTC020747,197,,8.6,Fendlerella utahensis,Shrub,Hydrangeaceae,,,
TTC020587,198,,19.4,Hibiscus denudatus,Forb,Malvaceae,,,
TTC020588,199,,45.3,Hibiscus denudatus,Forb,Malvaceae,,,
TTC020660,200,,25.9,Acleisanthes longiflora,Forb,Nyctaginaceae,,,
TTC020547,201,,20.9,Acleisanthes longiflora,Forb,Nyctaginaceae,,,
TTC020659,202,,16.4,Acleisanthes longiflora,Forb,Nyctaginaceae,,,
TTC020663,203,,23.4,Allionia incarnata,Forb,Nyctaginaceae,,,
TTC020661,204,,15.6,Allionia incarnata,Forb,Nyctaginaceae,,,
TTC020662,205,,9.5,Allionia incarnata,Forb,Nyctaginaceae,,,
TTC020674,206,,35.1,Selinocarpus lanceolatus ,Shrub,Nyctaginaceae,,,
TTC020673,207,,23.6,Selinocarpus lanceolatus ,Shrub,Nyctaginaceae,,,
TTC020672,208,,35.8,Selinocarpus lanceolatus ,Shrub,Nyctaginaceae,,,
TTC020671,209,,26.8,Selinocarpus lanceolatus ,Shrub,Nyctaginaceae,,,
TTC020630,210,,24.6,Forestiera pubescens,Tree,Oleaceae,,,
TTC020634,211,,21.6,Forestiera pubescens,Tree,Oleaceae,,,
TTC020632,212,,14.5,Forestiera pubescens,Tree,Oleaceae,,,
TTC020633,213,,14.9,Forestiera pubescens,Tree,Oleaceae,,,
TTC020638,214,,13.8,Fraxinus velutina,Tree,Oleaceae,,,
TTC020636,215,,23.7,Fraxinus velutina,Tree,Oleaceae,,,
TTC020639,216,,8.3,Fraxinus velutina,Tree,Oleaceae,,,
TTC020637,217,,15.6,Fraxinus velutina,Tree,Oleaceae,,,
TTC020714,218,,15.1,Gaura coccinea,Forb,Onagraceae,,,
TTC020646,219,,21.6,Gaura coccinea,Forb,Onagraceae,,,
TTC020645,220,,22.3,Gaura coccinea,Forb,Onagraceae,,,
TTC020652,221,,12.3,Oenothera brachycarpa,Forb,Onagraceae,,,
TTC020650,222,,20.5,Oenothera brachycarpa,Forb,Onagraceae,,,
TTC020653,223,,22.1,Oenothera brachycarpa,Forb,Onagraceae,,,
TTC020651,224,,9.2,Oenothera brachycarpa,Forb,Onagraceae,,,
TTC020690,225,,13.7,Argemone chisosensis,Forb,Papaveraceae,,,
TTC020405,226,,9.1,Phyllanthus polygonoides,Forb,Phyllanthaceae,,,
TTC020801,227,,16.9,Phyllanthus polygonoides,Forb,Phyllanthaceae,,,
TTC020401,228,,6.1,Phyllanthus polygonoides,Forb,Phyllanthaceae,,,
TTC020402,229,,7.7,Phyllanthus polygonoides,Forb,Phyllanthaceae,,,
TTC020608,230,,11.3,Bouteloua warnockii,Grass,Poaceae,,,
TTC020607,231,,17.6,Bouteloua warnockii,Grass,Poaceae,,,
TTC020469,232,,16.5,Koeleria pyramidata,Grass,Poaceae,,,
TTC020466,233,,17.1,Muhlenbergia dubia,Grass,Poaceae,,,
TTC020540,234,,4.7,Polygala scoparioides,Forb,Polygalaceae,,,
TTC020541,235,,3.6,Polygala scoparioides,Forb,Polygalaceae,,,
TTC020726,236,,6.7,Clematis filifera,Forb,Ranunculaceae,,,
TTC020539,237,,12.2,Clematis filifera,Forb,Ranunculaceae,,,
TTC020538,238,,12.4,Clematis filifera,Forb,Ranunculaceae,,,
TTC020535,239,,8.8,Clematis filifera,Forb,Ranunculaceae,,,
TTC020531,240,,8.1,Thalictrum fendleri ,Forb,Ranunculaceae,,,
TTC020525,241,,41.8,Ceanothus greggii,Shrub,Rhamnaceae,,,
TTC020526,242,,26.7,Ceanothus greggii,Shrub,Rhamnaceae,,,
TTC020529,243,,48.1,Ceanothus greggii,Shrub,Rhamnaceae,,,
TTC020527,244,,42.7,Ceanothus greggii,Shrub,Rhamnaceae,,,
TTC020583,245,,14.7,Petrophytum caespitosum ,Shrub,Rosaceae,,,
TTC020581,246,,21.8,Petrophytum caespitosum ,Shrub,Rosaceae,,,
TTC020582,247,,21.1,Petrophytum caespitosum ,Shrub,Rosaceae,,,
TTC020579,248,,18.1,Prunus serotina,Tree,Rosaceae,,,
TTC020580,249,,15.8,Prunus serotina,Tree,Rosaceae,,,
TTC020578,250,,9.1,Rosa woodsii,Forb,Rosaceae,,,
TTC020577,251,,23.2,Choisya dumosa,Shrub,Rutaceae,,,
TTC020575,252,,29.9,Choisya dumosa,Shrub,Rutaceae,,,
TTC020574,253,,30.8,Choisya dumosa,Shrub,Rutaceae,,,
TTC020576,254,,27.8,Choisya dumosa,Shrub,Rutaceae,,,
TTC020571,255,,23.2,Populus wislizeni,Tree,Salicaceae,,,
TTC020566,256,,7.7,Verbascum thapsus,Forb,Scrophulariaceae,,,
TTC020564,257,,13.2,Nicotiana trigonophylla,Forb,Solanaceae,,,
TTC020546,258,,17.1,Nicotiana trigonophylla,Forb,Solanaceae,,,
TTC020565,259,,7.6,Nicotiana trigonophylla,Forb,Solanaceae,,,
TTC020562,260,,17.4,Solanum rostratum ,Forb,Solanaceae,,,
TTC021884,261,,20.1,Larrea tridentata,Shrub,Zygophyllaceae,,,
TTC000197,262,,13.7,Cheilanthes eatonii,Fern,Pteridaceae,,,
TTC000203,263,,14.1,Cheilanthes feei,Fern,Pteridaceae,,,
TTC000189,264,,22.8,Notholaena parvifolia ,Fern,Pteridaceae,,,
